question,option1,option2,option3,option4,correct_answer,explanation
"Which South Indian kingdom was famous for its naval power?","Chalukya","Chola","Hoysala","Pandya","Chola","The Cholas were a powerful Tamil dynasty known for their extensive maritime trade and naval prowess."
"Who ordered the transfer of the capital from Delhi to Daulatabad?","Sultan Firoz Tughlaq","Sultan Ghiyasuddin Tughlaq","Sultan Mubarak","Sultan Muhammad bin Tughlaq","Sultan Muhammad bin Tughlaq","Muhammad bin Tughlaq was a controversial ruler who made several ambitious but often unsuccessful reforms, including the relocation of the capital."
"Which of the following is the largest planet in our Solar System?","Earth","Mars","Jupiter","Saturn","Jupiter","Jupiter is the largest planet in our Solar System, with a mass more than twice that of all the other planets combined."
"What is the capital of Japan?","Beijing","Seoul","Tokyo","Bangkok","Tokyo","Tokyo is the capital city of Japan and one of the most populous cities in the world."
"Who wrote 'To Kill a Mockingbird'?","J.K. Rowling","Harper Lee","Mark Twain","Ernest Hemingway","Harper Lee","Harper Lee wrote the novel 'To Kill a Mockingbird,' which won the Pulitzer Prize for Fiction in 1961."
"What element does 'O' represent on the periodic table?","Osmium","Oxygen","Oganesson","Osmium","Oxygen","Oxygen is a chemical element with the symbol 'O' and atomic number 8, essential for respiration."
"What is the main ingredient in guacamole?","Tomato","Onion","Avocado","Pepper","Avocado","Avocado is the main ingredient in guacamole, a traditional Mexican dip."
"Which scientist developed the theory of relativity?","Isaac Newton","Albert Einstein","Niels Bohr","Galileo Galilei","Albert Einstein","Albert Einstein developed the theory of relativity, revolutionizing our understanding of space and time."
"What is the hardest natural substance on Earth?","Gold","Diamond","Iron","Platinum","Diamond","Diamond is the hardest natural substance known, with a hardness of 10 on the Mohs scale."
"What year did the Titanic sink?","1905","1912","1923","1898","1912","The Titanic sank on April 15, 1912, after hitting an iceberg during its maiden voyage."
